file_name,tracker_name,reference
com.porn.blocker.purity.browser.apk.json,Bugfender,https://reports.exodus-privacy.eu.org/trackers/233
com.porn.blocker.purity.browser.apk.json,Google CrashLytics,https://reports.exodus-privacy.eu.org/trackers/27
com.porn.blocker.purity.browser.apk.json,Google Firebase Analytics,https://reports.exodus-privacy.eu.org/trackers/49
com.msw.pornblocker.apk.json,Google CrashLytics,https://reports.exodus-privacy.eu.org/trackers/27
com.msw.pornblocker.apk.json,Google Firebase Analytics,https://reports.exodus-privacy.eu.org/trackers/49
to.freedom.android2.apk.json,Google CrashLytics,https://reports.exodus-privacy.eu.org/trackers/27
to.freedom.android2.apk.json,Google Firebase Analytics,https://reports.exodus-privacy.eu.org/trackers/49
com.hsv.powerbrowser.apk.json,Google AdMob,https://reports.exodus-privacy.eu.org/trackers/312
com.hsv.powerbrowser.apk.json,Google Firebase Analytics,https://reports.exodus-privacy.eu.org/trackers/49
com.hsv.powerbrowser.apk.json,Microsoft Visual Studio App Center Analytics,https://reports.exodus-privacy.eu.org/trackers/243
com.hsv.powerbrowser.apk.json,Microsoft Visual Studio App Center Crashes,https://reports.exodus-privacy.eu.org/trackers/238
com.symantec.securewifi.apk.json,AppsFlyer,https://reports.exodus-privacy.eu.org/trackers/12
com.symantec.securewifi.apk.json,Google Analytics,https://reports.exodus-privacy.eu.org/trackers/48
com.symantec.securewifi.apk.json,Google CrashLytics,https://reports.exodus-privacy.eu.org/trackers/27
com.symantec.securewifi.apk.json,Google Firebase Analytics,https://reports.exodus-privacy.eu.org/trackers/49
com.symantec.securewifi.apk.json,Google Tag Manager,https://reports.exodus-privacy.eu.org/trackers/105
com.symantec.securewifi.apk.json,Taplytics,https://reports.exodus-privacy.eu.org/trackers/211
com.m24apps.appblocker.apk.json,AppLovin (MAX and SparkLabs),https://reports.exodus-privacy.eu.org/trackers/72
com.m24apps.appblocker.apk.json,Facebook Ads,https://reports.exodus-privacy.eu.org/trackers/65
com.m24apps.appblocker.apk.json,Facebook Analytics,https://reports.exodus-privacy.eu.org/trackers/66
com.m24apps.appblocker.apk.json,Facebook Login,https://reports.exodus-privacy.eu.org/trackers/67
com.m24apps.appblocker.apk.json,Facebook Places,https://reports.exodus-privacy.eu.org/trackers/69
com.m24apps.appblocker.apk.json,Facebook Share,https://reports.exodus-privacy.eu.org/trackers/70
com.m24apps.appblocker.apk.json,Google AdMob,https://reports.exodus-privacy.eu.org/trackers/312
com.m24apps.appblocker.apk.json,Google CrashLytics,https://reports.exodus-privacy.eu.org/trackers/27
com.m24apps.appblocker.apk.json,Google Firebase Analytics,https://reports.exodus-privacy.eu.org/trackers/49
com.m24apps.appblocker.apk.json,Startapp,https://reports.exodus-privacy.eu.org/trackers/195
com.ume.browser.international.apk.json,AppLovin (MAX and SparkLabs),https://reports.exodus-privacy.eu.org/trackers/72
com.ume.browser.international.apk.json,AppsFlyer,https://reports.exodus-privacy.eu.org/trackers/12
com.ume.browser.international.apk.json,Facebook Ads,https://reports.exodus-privacy.eu.org/trackers/65
com.ume.browser.international.apk.json,Facebook Analytics,https://reports.exodus-privacy.eu.org/trackers/66
com.ume.browser.international.apk.json,Facebook Login,https://reports.exodus-privacy.eu.org/trackers/67
com.ume.browser.international.apk.json,Google AdMob,https://reports.exodus-privacy.eu.org/trackers/312
com.ume.browser.international.apk.json,Google CrashLytics,https://reports.exodus-privacy.eu.org/trackers/27
com.ume.browser.international.apk.json,Google Firebase Analytics,https://reports.exodus-privacy.eu.org/trackers/49
com.ume.browser.international.apk.json,IAB Open Measurement,https://reports.exodus-privacy.eu.org/trackers/328
com.ume.browser.international.apk.json,Taboola,https://reports.exodus-privacy.eu.org/trackers/173
com.ume.browser.international.apk.json,Twitter MoPub,https://reports.exodus-privacy.eu.org/trackers/35
com.transsion.phoenix.apk.json,Branch,https://reports.exodus-privacy.eu.org/trackers/167
com.transsion.phoenix.apk.json,Facebook Ads,https://reports.exodus-privacy.eu.org/trackers/65
com.transsion.phoenix.apk.json,Facebook Analytics,https://reports.exodus-privacy.eu.org/trackers/66
com.transsion.phoenix.apk.json,Facebook Login,https://reports.exodus-privacy.eu.org/trackers/67
com.transsion.phoenix.apk.json,Facebook Share,https://reports.exodus-privacy.eu.org/trackers/70
com.transsion.phoenix.apk.json,Google AdMob,https://reports.exodus-privacy.eu.org/trackers/312
com.transsion.phoenix.apk.json,Google Firebase Analytics,https://reports.exodus-privacy.eu.org/trackers/49
com.transsion.phoenix.apk.json,Taboola,https://reports.exodus-privacy.eu.org/trackers/173
com.adblock.App.apk.json,Facebook Ads,https://reports.exodus-privacy.eu.org/trackers/65
com.adblock.App.apk.json,Google Analytics,https://reports.exodus-privacy.eu.org/trackers/48
com.adblock.App.apk.json,Google Tag Manager,https://reports.exodus-privacy.eu.org/trackers/105
com.droid.netflixIMDB.apk.json,Google CrashLytics,https://reports.exodus-privacy.eu.org/trackers/27
com.droid.netflixIMDB.apk.json,Google Firebase Analytics,https://reports.exodus-privacy.eu.org/trackers/49
com.adblocker.ashazapps.apk.json,Facebook Ads,https://reports.exodus-privacy.eu.org/trackers/65
com.adblocker.ashazapps.apk.json,Google Analytics,https://reports.exodus-privacy.eu.org/trackers/48
com.adblocker.ashazapps.apk.json,Google Tag Manager,https://reports.exodus-privacy.eu.org/trackers/105
com.sibimobilelab.amazebrowser.apk.json,Google Analytics,https://reports.exodus-privacy.eu.org/trackers/48
com.sibimobilelab.amazebrowser.apk.json,Google Tag Manager,https://reports.exodus-privacy.eu.org/trackers/105
com.mario.app.protection.apk.json,Google AdMob,https://reports.exodus-privacy.eu.org/trackers/312
com.mario.app.protection.apk.json,Google Firebase Analytics,https://reports.exodus-privacy.eu.org/trackers/49
net.bluehack.blu.apk.json,Adjust,https://reports.exodus-privacy.eu.org/trackers/52
net.bluehack.blu.apk.json,Google CrashLytics,https://reports.exodus-privacy.eu.org/trackers/27
net.bluehack.blu.apk.json,Google Firebase Analytics,https://reports.exodus-privacy.eu.org/trackers/49
