;appId;install;genre;price;currency;free;title;summary
0;com.hsv.freeadblockerbrowser;10,000,000+;Communication;0.0;USD;True;Free Adblocker Browser - Adblock & Private Browser;"This is an adblocker private browser for Android. ︎It blocks banner &amp; video ads!"
1;org.adblockplus.browser;10,000,000+;Communication;0.0;USD;True;Adblock Browser: Block ads, browse faster;Surf the web without annoying ads. Adblock Browser is fast, secure and free.
2;com.adguard.android.contentblocker;5,000,000+;Tools;0.0;USD;True;AdGuard: Content Blocker for Samsung and Yandex;Ad Blocker App: Block All Online Ads in Samsung Internet and Yandex Browser
3;com.brave.browser;10,000,000+;Communication;0.0;USD;True;Brave Private Browser: Fast, secure web browser;"Free, safe internet browser! Private browsing, search engine &amp; pop-up blocker."
4;org.blokada.alarm.dnschanger;1,000,000+;Tools;0.0;USD;True;Blokada Slim Ad blocker - No Ads, better battery;Protect your privacy for free with the official Blokada app.
5;popup.ads.detector;500,000+;Tools;0.0;USD;True;Popup Ad Detector-Detect ad showing outside of app;No more wasting time on finding which app causing pop-up ad!
6;com.spaceship.netprotect;1,000,000+;Tools;0.0;USD;True;AdBlock - Block ad for all browers,ad blocker plus;Faster ad blocker for all browsers(Chrome, Opera, Firefox, UC etc.) Ad Guard! 🎉
7;org.adblockplus.adblockplussbrowser;5,000,000+;Communication;0.0;USD;True;Adblock Plus for Samsung Internet - Browse safe.;Specifically for Samsung Internet: block annoying ads, browse faster, save data.
8;krow.dev.addetector;100,000+;Tools;0.0;USD;True;Ad Detector;Ad Detector detects advertisement used by your installed applications.
9;kr.co.lylstudio.unicorn;100,000+;Productivity;2.59;AUD;False;Unicorn Blocker:Adblocker, Fast & Private;* block pre-roll ads, pop-up and forced redirect ads<br>* Samsung certification app
10;com.appspot.swisscodemonkeys.detector;1,000,000+;Tools;0.0;USD;True;AppBrain Ad Detector;Find out which of your apps have ads and spyware
11;com.rocketshipapps.adblockfast;5,000,000+;Productivity;0.0;USD;True;Adblock Fast;Adblock Fast is a free, open-source ad blocker for Samsung Internet 4.0 and up!
12;com.imoblife.checkadd_plug_in;500,000+;Productivity;0.0;USD;True;Ad Detect Plugin - Handy Tool;Check ads contained in apps installed, notify when intrusive ads are detected
13;com.tafayor.appwatch;500,000+;Tools;0.0;USD;True;AppWatch - Popup Ad Detector;Find out which app is causing pop-up ads.
14;com.rhaon.ad_skip;5,000+;Tools;0.0;USD;True;Ad Skip;You can spend time efficiently by reducing the amount of time you see ads.
15;com.joettaapps.adblocker;500,000+;Productivity;0.0;USD;True;AD Blocker Browser Block Web Content & Adguard;AdBlock Plus is free AD Blocker web Browser, Content, Popup Block Ads Guard🚫
16;com.alfeugds.adskipper;5,000+;Productivity;0.0;XXX;True;Ad Skipper;Skips Video Ads while you watch your videos on youtube
