file_name,permission,status,info
adblock.browser.lightning.apk.json,android.permission.INTERNET,normal,full Internet access
adblock.browser.lightning.apk.json,com.android.browser.permission.READ_HISTORY_BOOKMARKS,unknown,Unknown permission
adblock.browser.lightning.apk.json,com.android.browser.permission.WRITE_HISTORY_BOOKMARKS,unknown,Unknown permission
adblock.browser.lightning.apk.json,android.permission.WRITE_EXTERNAL_STORAGE,dangerous,read/modify/delete external storage contents
adblock.browser.lightning.apk.json,android.permission.READ_EXTERNAL_STORAGE,dangerous,read external storage contents
adblock.browser.lightning.apk.json,android.permission.ACCESS_FINE_LOCATION,dangerous,fine (GPS) location
adblock.browser.lightning.apk.json,android.permission.ACCESS_NETWORK_STATE,normal,view network status
adblock.browser.lightning.apk.json,android.permission.SYSTEM_ALERT_WINDOW,dangerous,display system-level alerts
com.adsbrower.apk.json,android.permission.ACCESS_COARSE_LOCATION,dangerous,coarse (network-based) location
com.adsbrower.apk.json,android.permission.ACCESS_FINE_LOCATION,dangerous,fine (GPS) location
com.adsbrower.apk.json,android.permission.GET_ACCOUNTS,dangerous,list accounts
com.adsbrower.apk.json,android.permission.INTERNET,normal,full Internet access
com.adsbrower.apk.json,com.android.browser.permission.READ_HISTORY_BOOKMARKS,unknown,Unknown permission
com.adsbrower.apk.json,com.android.browser.permission.WRITE_HISTORY_BOOKMARKS,unknown,Unknown permission
com.adsbrower.apk.json,android.permission.WRITE_EXTERNAL_STORAGE,dangerous,read/modify/delete external storage contents
com.adsbrower.apk.json,android.permission.ACCESS_NETWORK_STATE,normal,view network status
com.adsbrower.apk.json,android.permission.ACCESS_WIFI_STATE,normal,view Wi-Fi status
com.adsbrower.apk.json,android.permission.READ_PHONE_STATE,dangerous,read phone state and identity
com.adsbrower.apk.json,android.permission.WRITE_SETTINGS,dangerous,modify global system settings
com.adsbrower.apk.json,android.permission.GET_TASKS,dangerous,retrieve running applications
com.adsbrower.apk.json,android.permission.CHANGE_WIFI_STATE,normal,change Wi-Fi status
com.adsbrower.apk.json,android.permission.BLUETOOTH,normal,create Bluetooth connections
com.adsbrower.apk.json,android.permission.READ_EXTERNAL_STORAGE,dangerous,read external storage contents
com.adsbrower.apk.json,android.permission.MOUNT_UNMOUNT_FILESYSTEMS,dangerous,mount and unmount file systems
com.adsbrower.apk.json,android.permission.READ_PROFILE,dangerous,read the user's personal profile data
com.adsbrower.apk.json,android.permission.READ_CONTACTS,dangerous,read contact data
com.ilegendsoft.mercury.apk.json,com.ilegendsoft.mercury.external.wfm.permission.WFM_RECEIVER,unknown,Unknown permission
com.ilegendsoft.mercury.apk.json,android.permission.INTERNET,normal,full Internet access
com.ilegendsoft.mercury.apk.json,android.permission.WRITE_EXTERNAL_STORAGE,dangerous,read/modify/delete external storage contents
com.ilegendsoft.mercury.apk.json,android.permission.ACCESS_NETWORK_STATE,normal,view network status
com.ilegendsoft.mercury.apk.json,android.permission.ACCESS_WIFI_STATE,normal,view Wi-Fi status
com.ilegendsoft.mercury.apk.json,android.permission.WAKE_LOCK,normal,prevent phone from sleeping
com.ilegendsoft.mercury.apk.json,com.android.browser.permission.READ_HISTORY_BOOKMARKS,unknown,Unknown permission
com.ilegendsoft.mercury.apk.json,android.permission.MODIFY_AUDIO_SETTINGS,normal,change your audio settings
com.ilegendsoft.mercury.apk.json,android.permission.CAMERA,dangerous,take pictures and videos
com.ilegendsoft.mercury.apk.json,android.permission.GET_ACCOUNTS,dangerous,list accounts
com.ilegendsoft.mercury.apk.json,android.permission.MANAGE_ACCOUNTS,dangerous,manage the accounts list
com.ilegendsoft.mercury.apk.json,android.permission.USE_CREDENTIALS,dangerous,use the authentication credentials of an account
com.ilegendsoft.mercury.apk.json,android.permission.ACCESS_FINE_LOCATION,dangerous,fine (GPS) location
com.ilegendsoft.mercury.apk.json,android.permission.RECEIVE_BOOT_COMPLETED,normal,automatically start at boot
com.ilegendsoft.mercury.apk.json,android.permission.READ_PHONE_STATE,dangerous,read phone state and identity
com.ideashower.readitlater.pro.apk.json,android.permission.INTERNET,normal,full Internet access
com.ideashower.readitlater.pro.apk.json,android.permission.ACCESS_NETWORK_STATE,normal,view network status
com.ideashower.readitlater.pro.apk.json,android.permission.ACCESS_WIFI_STATE,normal,view Wi-Fi status
com.ideashower.readitlater.pro.apk.json,android.permission.WRITE_EXTERNAL_STORAGE,dangerous,read/modify/delete external storage contents
com.ideashower.readitlater.pro.apk.json,android.permission.RECEIVE_BOOT_COMPLETED,normal,automatically start at boot
com.ideashower.readitlater.pro.apk.json,android.permission.WAKE_LOCK,normal,prevent phone from sleeping
com.ideashower.readitlater.pro.apk.json,android.permission.READ_CONTACTS,dangerous,read contact data
